# DOT S3B D2D gate measurement (spec E.1, the four-part protocol) — PROPERTY OF THE BOOK
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# THE GATE IS NOT REMOVED AND ITS OUTCOME IS NOT PRE-JUDGED. This measures; it does not decide.
# Variants are D2D_Trend_Dir STATE COLUMN changes only; no bar deleted, no engine logic altered.
# LIMIT: a single-run full removal across both directions is not computable without editing sacred
# build_signal_masks (one column cannot satisfy ==+1 and ==-1 on the same bar). The per-direction
# free runs are exact within their direction but isolate the jar. Resolving measurement: an authorised
# d2d_gate=on/off parameter on run_portfolio, which requires documented human authorisation.
# Bucketing = calendar month (spec H.3 primary rule), reported per bucket AND aggregate.
variant,variant_desc,population,bucket,trades,net,PF,WR_pct,daily_worst_day,DepthYield_N5,population_label,H3_bucketing,tolerance_N,dataset_rows,note
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,AGGREGATE,2281,69507.0,5.92,92.0,-387.5,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.01,161,4141.9,9.43,96.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.02,439,12473.3,5.71,93.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.03,473,14582.7,6.65,92.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.04,318,9957.6,5.73,90.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.05,265,11315.6,14.12,92.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.06,388,10780.3,5.22,93.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-concurrent,2026.07,237,6255.6,3.17,85.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,AGGREGATE,11827,56008.0,1.27,80.2,-3625.7,5.96,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.01,495,4375.9,1.47,79.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.02,1880,3075.5,1.08,78.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.03,2639,16694.6,1.34,81.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.04,1668,7357.2,1.25,79.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.05,1714,9872.9,1.37,80.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.06,2146,14357.6,1.42,81.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),BOOK,2026.07,1285,274.3,1.01,79.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,AGGREGATE,347,3110.7,1.52,81.8,-293.3,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.01,13,545.8,4.99,84.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.02,56,-11.8,0.99,76.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.03,106,1664.3,1.97,84.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.04,41,490.7,2.33,90.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.05,47,312.5,1.48,83.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.06,58,132.8,1.1,74.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-solo,2026.07,26,-23.6,0.95,80.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,AGGREGATE,11480,52897.3,1.26,80.2,-3487.7,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.01,482,3830.1,1.42,79.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.02,1824,3087.3,1.08,78.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.03,2533,15030.3,1.32,81.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.04,1627,6866.5,1.24,79.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.05,1667,9560.4,1.37,79.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.06,2088,14224.8,1.44,81.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
inverted,gate polarity inverted; encoding-error probe (spec E.1 part 4),F0-concurrent,2026.07,1259,297.9,1.01,79.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,AGGREGATE,13088,111438.8,1.53,81.8,-2314.5,6.5,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.01,597,6341.1,1.66,82.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.02,2123,13966.2,1.36,81.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.03,2863,29163.0,1.62,83.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.04,1858,15933.9,1.54,80.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.05,1850,17487.4,1.66,81.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.06,2366,24102.0,1.7,83.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",BOOK,2026.07,1431,4445.2,1.17,79.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,AGGREGATE,229,4320.6,3.14,89.1,-363.1,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.01,8,-17.0,0.83,87.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.02,36,771.0,3.0,86.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.03,68,1143.5,2.64,88.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.04,30,730.9,12.81,96.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.05,35,509.1,2.15,82.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.06,33,1174.9,33.64,97.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-solo,2026.07,19,8.2,1.03,84.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,AGGREGATE,12859,107118.2,1.51,81.7,-2314.5,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.01,589,6358.1,1.67,82.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.02,2087,13195.2,1.35,81.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.03,2795,28019.5,1.6,83.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.04,1828,15203.0,1.52,80.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.05,1815,16978.3,1.65,81.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.06,2333,22927.1,1.67,82.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
long_free_short_blocked,"d2d=+1: every LONG ungated, every SHORT blocked",F0-concurrent,2026.07,1412,4437.0,1.17,79.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,AGGREGATE,1223,14351.3,1.92,85.5,-389.5,0.164,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.01,52,1401.5,6.44,92.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.02,231,3158.3,2.26,86.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.03,321,3719.6,1.82,85.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.04,140,1708.1,2.13,88.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.05,137,1639.2,2.08,85.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.06,232,2720.2,1.87,84.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",BOOK,2026.07,110,4.4,1.0,78.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,AGGREGATE,466,6791.4,2.05,85.0,-312.1,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.01,19,616.7,5.51,89.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.02,87,1290.2,2.47,87.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.03,128,2700.8,2.97,88.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.04,60,1356.8,4.68,93.3,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.05,49,406.2,1.68,85.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.06,85,931.5,1.5,76.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-solo,2026.07,38,-510.8,0.59,71.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,AGGREGATE,757,7559.9,1.83,85.9,-336.0,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.01,33,784.8,7.49,93.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.02,144,1868.1,2.15,85.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.03,193,1018.8,1.32,83.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.04,80,351.3,1.31,85.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.05,88,1233.0,2.33,85.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.06,147,1788.7,2.44,89.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
short_free_long_blocked,"d2d=-1: every SHORT ungated, every LONG blocked",F0-concurrent,2026.07,72,515.2,1.58,81.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
